"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K05591"	1.69106622649661e-05	2.07003471171571e-05	1.82884653109203e-05	5.80936232894382e-06	4.84964372438782e-06	4.96784846686464e-06	7.95360434036417e-06	9.91475944746956e-06	6.10942762438795e-06	5.14495254670824e-05	9.2873110595415e-06	1.83260270108635e-05	7.85515732585808e-06	3.99099381380308e-06	5.40360090469101e-06	4.22403046147612e-06	5.22850528797954e-06	6.14437591170955e-06	7.3969465404681e-06	6.22808054676118e-06	4.66492408089587e-06	7.25722539944222e-06	6.15646400966464e-06	9.95670242463807e-06	6.17346890005512e-06	5.38392682485707e-06	6.12832080895442e-06
"K05596"	9.8876549855266e-05	0.000107699040992029	0.000110789597751943	1.86096522062777e-05	1.83098793675867e-05	1.62410430647498e-05	5.09213519262396e-05	5.26664744961915e-05	3.50829252976217e-05	6.65477974265813e-05	4.86434410940342e-05	4.93102376271687e-05	4.18644180207664e-05	0.000268179133331434	3.78252063328371e-05	0.000248102015595758	2.68463636902026e-05	2.88080575532612e-05	2.83882813174721e-05	3.11404027338059e-05	2.23105064738498e-05	2.64082368701925e-05	2.22036406905938e-05	3.25855715715428e-05	2.53908801534525e-05	2.72187411701108e-05	2.96369612892058e-05
"K05597"	1.10889588622728e-06	1.62168617968512e-06	1.34757112817307e-06	2.9539130486155e-07	2.96916962717622e-07	9.55355474397047e-08	1.09704887453299e-06	1.36441643772517e-06	7.40536681743994e-07	2.01951408375463e-06	1.10344289816335e-06	1.13356868108434e-06	7.14105211441644e-07	7.04293025965249e-07	5.49518736070272e-07	6.37589503619038e-07	3.01644535844973e-07	5.03637369812258e-07	5.99752422200116e-07	8.03623296356282e-07	2.02822786125907e-07	1.00794797214475e-07	8.07405116021592e-07	1.9108822835164e-06	5.97432474198883e-07	3.98809394433857e-07	6.02785653339779e-07
"K05594"	0	9.53933046873599e-08	9.62550805837909e-08	0	0	0	0	9.09610958483446e-08	0	9.61673373216493e-08	0	9.44640567570281e-08	0	0	0	0	0	0	0	1.00452912044535e-07	0	0	0	0	0	0	0
"K05595"	0.000427664180121655	0.000419635147319696	0.00041870960053949	0.000458348841376839	0.000459924375249596	0.000466691149242957	0.000458657850294334	0.000468904449098216	0.00047746102555444	0.000478240168500562	0.000462434527905289	0.00046599119198242	0.000464168387437068	0.000560695503449001	0.000467732030851814	0.000551116427190706	0.000457795857234054	0.000459418008742742	0.000455511964660988	0.00045274127458472	0.000457771028286173	0.000459725070095222	0.000457294072586729	0.000457103156767475	0.000459027284342808	0.000459129315341978	0.00045399806124041
"K05599"	9.24079905189402e-08	0	0	0	0	0	0	0	0	0	0	9.44640567570281e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K11962"	1.01648789570834e-06	1.04932635156096e-06	1.25131604758928e-06	0	0	0	2.74262218633247e-06	2.00114410866358e-06	4.81348843133596e-06	3.94286083018762e-06	2.20688579632669e-06	3.21177792973896e-06	1.16042096859267e-06	0	1.83172912023424e-06	3.18794751809519e-07	0	3.02182421887355e-07	1.99917474066705e-07	3.01358736133606e-07	0	1.00794797214475e-07	0	1.00572751764021e-07	7.96576632265177e-07	3.98809394433857e-07	5.02321377783149e-07
"K14540"	3.78872761127655e-05	4.15914808436889e-05	4.19672151345328e-05	1.6640376840534e-05	1.68252945539986e-05	9.55355474397046e-06	2.75176426028691e-05	2.64696788918683e-05	3.36018519341337e-05	3.58704168209752e-05	2.72182581546959e-05	3.13620668433333e-05	2.33869456747138e-05	2.42589820054697e-06	2.87581471876776e-05	4.62252390123802e-06	1.85008648651584e-05	1.93396750007907e-05	1.94919537215038e-05	1.99901294968625e-05	1.92681646819612e-05	1.824385829582e-05	1.89740202265074e-05	2.08185596151523e-05	1.88191229372648e-05	1.69493992634389e-05	1.87868195290898e-05
"K12529"	6.74578330788263e-06	6.39135141405311e-06	8.27793693020602e-06	4.1354782680617e-06	3.56300355261146e-06	4.39463518222641e-06	3.74825032132104e-06	3.2745994505404e-06	2.03647587479598e-06	2.98118745697113e-06	2.66665367056142e-06	2.83392170271084e-06	3.12421030005719e-06	1.56509561325611e-07	2.01490203225767e-06	3.18794751809519e-07	5.42960164520952e-06	5.74146601585974e-06	6.19744169606786e-06	5.22355142631583e-06	5.07056965314768e-06	5.74530344122509e-06	5.24813325414035e-06	4.62634658114496e-06	5.17774810972365e-06	5.78273621929093e-06	5.42507088005801e-06
"K06353"	8.31671914670462e-07	1.04932635156096e-06	1.0588058864217e-06	0	0	0	5.48524437266494e-07	6.36727670938412e-07	8.33103766961993e-07	4.80836686608246e-07	6.43675023928619e-07	5.66784340542169e-07	3.57052605720822e-07	0	1.00745101612883e-06	7.96986879523797e-08	0	0	0	0	1.01411393062954e-07	0	0	0	0	9.97023486084643e-08	0
