GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K07074	0	0	0	4.0151904304	0	0	0	8.0351136284	0	21.3891760718	9.3870759183	0	0	5.3221106442	7.7124640520	52.1222138602	0	0	65.5647092973	0	12.0190913437	0	0	0	0	0	0	0	0
K07075	188.4809543469	154.4763434981	177.3159313378	67.8819690736	22.6415094340	196.0422043024	0	67.8396223758	166.0393727425	45.3131348454	101.8016739963	71.5848344627	101.7735137080	94.2852837679	79.2027237906	0	75.3865796567	82.9197755891	0	37.6651295400	0	188.5231947794	158.6388805535	71.5848344627	52.8160022698	83.0630640462	139.6100919934	147.0847991295	30.1462262823
K07077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9824359635	0	0	0	0	0	0	0	0	0	0	0	0	0
K07078	96.5800342324	0	31.5281248273	52.4479143171	8.7188324712	65.0568616949	131.6538283790	40.3304508704	29.8523704234	284.5145165503	237.6319594480	26.2997175588	0	17.4067217782	148.7928278425	166.8126761837	140.3194604469	93.1363224621	196.2905290602	94.7643934703	33.3212053861	38.5413574680	0	20.6824735259	0	29.5492098270	31.6429937077	31.4790851826	23.6504531805
K07079	386.7078299051	386.9062415990	301.3692796626	129.2144901909	49.4763100081	392.1973568013	230.7570487902	200.5930993855	303.0643300979	109.1530646797	346.6310884791	269.4808003218	480.6027816035	210.7085453776	247.3258179229	128.8153277230	182.3985820260	294.7121098323	27.7590676873	230.9885691590	0	406.3656493194	311.3169553859	229.4879978347	67.8782204676	265.2150217208	330.0941282378	254.2158948734	27.6212497584
K07080	0	0	40.0102079568	400.4055821849	93.1141622557	0	0	189.8050533632	0	340.1812901350	18.3796178154	0	0	168.5070439898	31.1594190663	342.0060483813	26.5535880349	0	51.0168358055	30.4140711523	0	0	0	0	25.4127982759	45.4057641753	46.3099330189	0	0
K07081	0	0	9.4290723945	0	0	107.6104414187	0	22.8577916429	0	0	15.6887524542	0	0	21.2953070096	0	0	0	0	0	0	0	0	0	0	0	27.9136387511	0	18.5002932777	0
K07082	308.0202810984	124.6029148979	177.9406785997	175.8637754279	27.2404352876	291.7354623770	207.9301385099	167.0872197350	93.5413250591	661.7610302041	429.5235268221	94.4121771998	197.1336351161	129.0553300974	323.1471928985	260.4952308657	286.6074132326	135.3402491901	662.0708377088	426.7422111238	110.4372274856	137.3422004229	85.7585981459	95.4049468860	39.2764404637	118.5204803570	149.4150637904	136.4832132674	44.5379515745
K07083	0	13.3157273731	20.5733623210	0	0	133.1066542424	0	56.8935760213	0	0	15.7367795187	0	0	13.3166319156	0	0	0	0	0	0	0	0	0	0	0	24.2588851640	0	19.3610219666	0
K07084	0	0	66.8580854424	342.0197323579	73.4228511761	88.0404305928	24.4937986691	220.3159269098	0	339.5730298164	44.5122655711	0	0	163.5699778708	60.9388579166	344.0015205441	64.7530498672	0	68.1158310061	35.9242912255	10.5976148240	0	0	0	31.8863532206	49.8594195110	52.0966275636	37.9217581352	33.2352540836
K07085	814.2340220814	1004.0101783172	894.7046549650	634.4496353289	148.6594182427	1136.2232063863	740.9686156709	918.2259363526	1032.7588629506	961.3960114124	1299.5521241482	794.9471652166	1447.5913798367	791.9636905495	933.5436980844	475.9869267074	577.3361226815	633.5370656376	325.7435835635	888.1357251813	52.9618873429	1257.1935093031	664.9338292756	500.6935975849	290.6827485330	749.0639462085	924.4116018173	884.1927272069	105.0136446278
K07088	507.5064066882	149.1119401048	190.1249230099	256.9918994709	41.9175818934	315.3778184465	486.8941512696	155.3375798866	124.4061234433	1202.6923836024	560.5294228265	127.7535518343	380.4763059022	128.5228865307	614.4265582891	398.2749280975	451.9295566208	265.5857691503	991.6675853480	630.8234093702	164.4390760950	115.4624848392	124.8344423829	185.1552689941	49.6921042977	185.3329129068	228.2695059362	138.5376035770	104.5528530264
K07089	1330.1707250225	973.3589478963	555.2968297571	456.8095076010	149.7181133266	775.9851792991	581.4335083580	552.0535010593	790.4666122304	654.1478216897	749.8735082356	663.5486103332	1460.0968099706	507.3374859822	529.6049222505	513.6168704018	435.2891682949	804.9431051087	1203.4510232479	530.8883642998	205.1618452131	802.8614141737	666.5594368180	942.5304911415	260.6232384750	723.8664343499	758.6777010890	702.7382665722	204.4538726063
K07090	399.2514310243	189.2931088671	265.9276904088	926.3887205005	105.1376840810	556.2153799190	2538.2189926010	288.7650270439	426.7700196494	5740.5874128678	2344.9100692535	370.5784624417	230.3866350688	214.1139279778	5098.8457253887	3207.9171042720	2144.0560492199	1416.0561882800	3115.4858413881	1233.1564137615	516.5498181861	618.3396496476	191.4668407172	195.2343274694	110.3438951102	323.1128147437	372.7031011185	362.7016354274	232.2749930099
K07091	7.4325986054	0	26.0021900135	0	11.7967384891	24.1330666374	0	53.4196098206	0	195.3497710388	49.1828203846	0	0	15.6474605670	21.2933767721	99.6874005808	0	0	75.3205311236	0	10.0634833121	0	0	15.2214879769	0	14.0468315548	0	28.4272915342	0
K07093	0	0	18.9385680314	0	0	55.2958506360	0	73.2678729225	0	0	27.1118794684	0	0	14.2228023432	0	54.0049681404	0	0	7.6036764586	0	0	0	0	0	0	0	0	0	0
K07094	0	40.3744809174	0	0	0	0	18.1039125062	0	33.4223096920	0	0	0	0	0	0	0	11.1381871293	41.7769239577	0	0	0	0	0	16.7111548460	0	0	0	0	0
K07095	422.2455633928	197.0211069397	211.8793970188	187.9999485642	24.0877888397	390.5678828831	272.6018919498	179.8891006740	239.5435352933	570.1808246694	380.4785174660	225.4826975610	420.3855296668	164.5737849815	376.7184430057	157.1935671489	386.8334802437	175.8753030155	532.1637052770	425.4201032889	87.6851658416	231.5714624460	194.6077080566	189.2836787180	69.7845879454	149.3929060244	285.3394413608	172.3256218938	52.2551789541
K07096	16.7845980457	0	0	0	0	0	0	0	0	0	0	12.2090858313	0	12.2067656026	0	0	0	0	0	0	0	0	0	0	0	0	19.8450009309	0	0
K07097	0	10.8676142948	8.8912450389	0	0	49.3973860582	0	22.7272727273	0	0	0	0	0	7.9051383399	0	0	0	0	0	0	0	0	0	0	0	15.8063767586	0	10.8685897561	0
K07098	0	45.1849322834	43.6472519780	16.8752279112	0	84.2984930225	32.8900798205	73.7404531027	50.7187671621	131.7678854862	89.8624942747	33.8100300965	0	26.5975113057	24.6238767571	24.8358542918	19.1117197482	0	17.8854273530	22.4542089968	0	40.7718466635	0	41.9804528615	0	32.7829344637	0	53.0327271169	13.3272298066
K07099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.4713264447	0	0	0	0	0	0	0	0	0	0	0	0	0
K07102	0	0	8.1713333353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07104	0	0	0	0	0	0	0	0	0	20.4615091393	35.6773511680	0	0	0	0	8.9225639619	0	0	0	0	0	0	0	0	0	0	0	0	0
K07105	0	0	0	0	0	0	0	5.2820363079	0	107.4112235107	38.0876206425	0	0	0	0	10.4028453398	0	0	4.1661384429	0	0	0	0	0	0	28.7432255024	3.2267841918	0	0
K07106	520.7837061155	270.0342673761	361.4588095907	438.8010717741	103.4992388080	550.3349080719	619.5783037253	365.4110679269	445.7866427424	1472.3613193951	958.7619213087	358.1699905670	653.5288597775	333.2284697895	1409.5083205000	656.7009204579	472.4453774114	706.9688042126	569.9743835691	333.5741115459	91.3667804549	357.2908309430	330.8785338913	224.8705903468	98.5723918237	394.6580049633	442.6465751466	267.5764830110	129.3834125778
