GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03724	0	0	0	73.5860278348	42.5619766790	53.2520271414	17.1757478121	78.8460095158	0	0	12.9302867225	33.3285408112	0	0	68.0789074911	0	31.6120279974	21.4197473603	51.5113413428
K03727	47.4859555831	0	0	0	0	42.4770652650	0	0	0	0	0	0	0	0	65.4454259020	0	0	0	0
K03732	8.7563482356	0	0	47.0963845253	13.1762677303	0	14.7832702882	421.7298185628	0	0	10.7871833787	1033.7087434242	0	0	0	0	197.2548058794	711.9244260809	0
K03733	38.2069345210	0	0	94.0984460095	33.7548761751	90.3071859994	38.2921335783	276.5528784472	14.1659053117	13.3479700232	19.6748743516	818.4410604281	0	11.1239977794	118.0568597234	29.0838781119	90.2295831977	405.7005332894	25.5338894555
K03734	0	6.0921410391	15.9202032726	49.7494970999	24.5932992811	31.1962448127	25.9931043840	22.6769600199	17.6604775173	0	14.2947467903	32.4246073768	0	0	58.1626395696	0	15.2819846172	18.7649822025	0
K03735	0	0	0	143.9702008370	47.9520730605	0	0	174.9074117476	0	0	7.4325551999	244.9817124530	0	0	0	0	134.3959789963	187.7625604089	39.8159866513
K03736	0	0	0	52.6919068824	8.1652651422	0	0	25.2639730629	0	0	0	33.5362205204	0	0	0	0	7.3193945717	25.4106138472	0
K03737	891.2615823922	287.0025252393	470.1092305261	1412.8873162194	1077.9703242144	770.6817905648	922.9663752362	718.5991274001	197.5466191813	442.5883200779	431.4286778916	366.2184686242	352.6709049717	748.2607668014	903.7044309101	978.8494581341	1116.3752469908	766.9648448077	888.1119593291
K03738	0	0	0	22.3240451727	0	0	0	8.0614408194	0	0	0	22.2720665295	0	0	0	0	0	0	0
K03739	0	0	9.2160868217	15.0923395176	0	0	17.6547953844	31.0365191987	9.3518119481	0	0	490.3381834287	0	0	0	11.7886216067	17.5491140569	153.8985760787	0
K03740	8.7790731810	0	11.1579727221	10.5011921902	0	11.2246189202	17.7943354312	30.2183950294	0	0	0	81.3152713165	0	0	0	12.5684438401	12.8317708163	44.1430098501	0
K03741	0	0	0	13.3957496896	0	0	0	8.2763096959	0	0	0	46.4191319814	0	0	0	0	16.0265240810	192.0727214556	0
K03742	0	0	9.4943513117	55.2645849124	11.0337852921	0	9.8556688060	13.4757676344	6.5621005606	0	0	165.7427298264	0	0	0	7.8555007875	7.8254670772	48.1336184762	0
K03743	22.0356147881	0	0	47.4647244200	0	0	10.8055195766	156.1713654105	0	0	0	77.0930602068	0	0	37.0717643918	5.9821069238	14.8825228701	53.2045338878	0
K03744	153.6142187865	0	10.9838462409	58.0355263335	47.5965855502	84.4022376476	30.7739543276	1143.4463469249	0	9.3437337932	25.9688910275	1003.8452381425	18.8343469767	0	105.1676287150	0	260.2685328339	707.6263668133	46.2533920044
K03745	0	0	0	21.6185680108	0	0	0	89.0468499526	0	0	0	68.0203245975	0	0	0	0	9.4341721736	48.3123152129	0
